,gender,path,AgeGroup
0,male,wiki_crop/73/16273_1908-05-20_1948.jpg,"(38, 43)"
1,male,wiki_crop/74/5169974_1987-01-05_2014.jpg,"(25, 32)"
2,male,wiki_crop/26/307526_1964-09-08_2013.jpg,"(48, 53)"
3,male,wiki_crop/97/23159597_1966-03-10_2010.jpg,"(38, 43)"
4,female,wiki_crop/29/37322929_1960-10-30_2012.jpg,"(48, 53)"
5,female,wiki_crop/27/27885327_1958-01-16_2009.jpg,"(48, 53)"
8,female,wiki_crop/05/33280205_1985-09-27_2011.jpg,"(25, 32)"
9,male,wiki_crop/38/7220838_1962-11-20_2014.jpg,"(48, 53)"
10,female,wiki_crop/12/19528012_1983-03-24_2015.jpg,"(25, 32)"
12,female,wiki_crop/35/3338735_1981-11-16_2013.jpg,"(25, 32)"
13,male,wiki_crop/98/25138998_1993-10-02_2012.jpg,"(15, 20)"
16,male,wiki_crop/07/23877707_1926-07-23_1945.jpg,"(15, 20)"
17,female,wiki_crop/98/1193798_1962-02-25_2012.jpg,"(48, 53)"
18,male,wiki_crop/35/40362135_1992-08-07_2013.jpg,"(15, 20)"
20,female,wiki_crop/10/44993510_1997-05-25_2015.jpg,"(15, 20)"
22,male,wiki_crop/10/4435210_1984-09-06_2013.jpg,"(25, 32)"
23,male,wiki_crop/40/27997740_1992-11-05_2011.jpg,"(15, 20)"
26,male,wiki_crop/22/25715722_1985-08-27_2006.jpg,"(15, 20)"
28,male,wiki_crop/39/36584239_1985-03-05_2012.jpg,"(25, 32)"
31,male,wiki_crop/39/1483139_1980-01-10_2006.jpg,"(25, 32)"
32,female,wiki_crop/94/17651494_1918-01-18_1983.jpg,"(60, 100)"
33,male,wiki_crop/38/40360638_1972-12-22_2012.jpg,"(38, 43)"
34,male,wiki_crop/09/567909_1982-05-24_2013.jpg,"(25, 32)"
38,male,wiki_crop/67/12677067_1979-01-24_2010.jpg,"(25, 32)"
39,female,wiki_crop/93/106393_1943-12-23_2013.jpg,"(60, 100)"
40,male,wiki_crop/93/3008793_1970-06-26_2013.jpg,"(38, 43)"
41,male,wiki_crop/44/2362244_1983-01-24_2010.jpg,"(25, 32)"
42,male,wiki_crop/66/35751366_1986-04-01_2012.jpg,"(25, 32)"
43,male,wiki_crop/22/43230022_1994-02-19_2013.jpg,"(15, 20)"
44,male,wiki_crop/99/2592299_1963-05-23_2014.jpg,"(48, 53)"
46,male,wiki_crop/00/681300_1952-04-06_2004.jpg,"(48, 53)"
48,male,wiki_crop/88/28537888_1993-05-28_2012.jpg,"(15, 20)"
49,male,wiki_crop/69/163169_1963-09-07_1993.jpg,"(25, 32)"
50,male,wiki_crop/49/10049_1945-03-30_2008.jpg,"(60, 100)"
52,male,wiki_crop/93/44021993_1983-05-16_2011.jpg,"(25, 32)"
53,male,wiki_crop/50/21954150_1983-01-01_2012.jpg,"(25, 32)"
54,male,wiki_crop/39/24083539_1942-09-08_1974.jpg,"(25, 32)"
57,female,wiki_crop/98/19590998_1985-02-02_2014.jpg,"(25, 32)"
58,female,wiki_crop/51/6591251_1927-09-17_2012.jpg,"(60, 100)"
59,male,wiki_crop/73/21713373_1990-08-23_2011.jpg,"(15, 20)"
60,male,wiki_crop/85/11237285_1933-07-06_1960.jpg,"(25, 32)"
61,male,wiki_crop/97/24585297_1990-04-16_2010.jpg,"(15, 20)"
65,male,wiki_crop/75/30155675_1978-05-01_2009.jpg,"(25, 32)"
66,male,wiki_crop/35/36749635_1994-08-28_2014.jpg,"(15, 20)"
68,male,wiki_crop/52/511552_1957-12-12_2010.jpg,"(48, 53)"
69,male,wiki_crop/89/25450389_1983-08-09_2012.jpg,"(25, 32)"
70,male,wiki_crop/53/4693053_1983-05-02_2011.jpg,"(25, 32)"
71,female,wiki_crop/92/29687392_1976-01-25_2008.jpg,"(25, 32)"
72,male,wiki_crop/61/15884461_1964-01-21_2014.jpg,"(48, 53)"
73,male,wiki_crop/06/35985006_1940-10-16_2006.jpg,"(60, 100)"
74,male,wiki_crop/78/21511878_1991-01-22_2009.jpg,"(15, 20)"
75,female,wiki_crop/58/9116458_1931-05-17_1963.jpg,"(25, 32)"
78,male,wiki_crop/80/29890180_1990-01-28_2009.jpg,"(15, 20)"
79,female,wiki_crop/07/38212007_1940-02-14_1966.jpg,"(25, 32)"
80,male,wiki_crop/30/39362130_1971-07-24_2013.jpg,"(38, 43)"
81,male,wiki_crop/42/26942_1969-10-22_2013.jpg,"(38, 43)"
82,male,wiki_crop/72/17695172_1922-06-16_1952.jpg,"(25, 32)"
83,male,wiki_crop/99/159599_1972-08-15_2015.jpg,"(38, 43)"
86,male,wiki_crop/56/87156_1942-08-07_1974.jpg,"(25, 32)"
91,male,wiki_crop/41/11887241_1932-12-14_1960.jpg,"(25, 32)"
92,male,wiki_crop/88/38391788_1939-08-11_1960.jpg,"(15, 20)"
94,female,wiki_crop/55/31803455_1992-09-04_2013.jpg,"(15, 20)"
95,male,wiki_crop/06/8089106_1940-03-03_2007.jpg,"(60, 100)"
96,male,wiki_crop/49/33832249_1980-12-02_2011.jpg,"(25, 32)"
98,male,wiki_crop/94/39042094_1983-11-20_2011.jpg,"(25, 32)"
99,male,wiki_crop/62/169662_1975-01-23_2014.jpg,"(38, 43)"
101,female,wiki_crop/47/2511247_1982-08-07_2012.jpg,"(25, 32)"
102,male,wiki_crop/56/11174356_1983-04-25_2010.jpg,"(25, 32)"
104,male,wiki_crop/03/14351203_1983-10-01_2014.jpg,"(25, 32)"
106,female,wiki_crop/66/1863766_1951-08-19_2012.jpg,"(60, 100)"
107,male,wiki_crop/33/3330133_1962-10-30_2012.jpg,"(48, 53)"
109,female,wiki_crop/06/36180306_1995-02-18_2015.jpg,"(15, 20)"
110,male,wiki_crop/44/342744_1987-09-11_2014.jpg,"(25, 32)"
111,male,wiki_crop/15/7819615_1987-01-24_2014.jpg,"(25, 32)"
113,male,wiki_crop/36/7332536_1982-07-26_2014.jpg,"(25, 32)"
115,male,wiki_crop/51/30045851_1958-01-09_2011.jpg,"(48, 53)"
116,male,wiki_crop/54/12154454_1945-03-26_1966.jpg,"(15, 20)"
117,male,wiki_crop/27/3938927_1981-06-12_2014.jpg,"(25, 32)"
119,male,wiki_crop/55/7770755_1980-01-21_2006.jpg,"(25, 32)"
120,male,wiki_crop/52/11551652_1970-02-18_2009.jpg,"(38, 43)"
121,male,wiki_crop/81/39924481_1972-10-04_2013.jpg,"(38, 43)"
122,male,wiki_crop/27/1302227_1938-11-03_2008.jpg,"(60, 100)"
123,male,wiki_crop/85/46524685_1980-10-24_2013.jpg,"(25, 32)"
124,female,wiki_crop/54/593854_1921-07-03_1940.jpg,"(15, 20)"
127,male,wiki_crop/86/1921686_1944-09-19_2010.jpg,"(60, 100)"
129,female,wiki_crop/73/30696273_1989-05-27_2009.jpg,"(15, 20)"
130,male,wiki_crop/34/326834_1897-11-18_1950.jpg,"(48, 53)"
131,male,wiki_crop/52/44016952_1936-05-03_2013.jpg,"(60, 100)"
133,male,wiki_crop/29/304429_1943-01-25_2014.jpg,"(60, 100)"
135,male,wiki_crop/74/11616974_1950-10-04_1979.jpg,"(25, 32)"
136,male,wiki_crop/86/3078086_1952-11-17_1972.jpg,"(15, 20)"
137,male,wiki_crop/46/15711446_1910-01-09_1984.jpg,"(60, 100)"
138,male,wiki_crop/25/69125_1951-12-14_1984.jpg,"(25, 32)"
142,female,wiki_crop/84/180984_1912-09-22_1943.jpg,"(25, 32)"
143,male,wiki_crop/82/1186182_1948-09-01_2009.jpg,"(60, 100)"
144,female,wiki_crop/99/6884099_1985-07-23_2011.jpg,"(25, 32)"
146,male,wiki_crop/21/12563021_1988-11-15_2007.jpg,"(15, 20)"
148,male,wiki_crop/71/15082671_1942-03-07_1968.jpg,"(25, 32)"
149,male,wiki_crop/82/9189682_1987-06-24_2015.jpg,"(25, 32)"
150,male,wiki_crop/34/19030734_1929-06-13_1968.jpg,"(38, 43)"
151,male,wiki_crop/59/44059_1942-07-13_2015.jpg,"(60, 100)"
154,male,wiki_crop/04/20118104_1974-11-09_2014.jpg,"(38, 43)"
156,male,wiki_crop/69/45090569_1951-06-26_2015.jpg,"(60, 100)"
158,female,wiki_crop/32/2822032_1932-01-18_1959.jpg,"(25, 32)"
159,male,wiki_crop/90/17224990_1985-11-25_2014.jpg,"(25, 32)"
161,female,wiki_crop/31/16268631_1931-06-03_1958.jpg,"(25, 32)"
162,male,wiki_crop/51/194551_1925-12-08_1986.jpg,"(60, 100)"
163,female,wiki_crop/67/6225867_1911-05-13_1975.jpg,"(60, 100)"
164,female,wiki_crop/28/44945628_1949-02-10_1967.jpg,"(15, 20)"
165,male,wiki_crop/80/3616080_1978-12-04_2008.jpg,"(25, 32)"
168,female,wiki_crop/43/618543_1937-02-20_1968.jpg,"(25, 32)"
169,male,wiki_crop/34/24378334_1986-10-29_2012.jpg,"(25, 32)"
170,male,wiki_crop/67/1660967_1933-09-03_1977.jpg,"(38, 43)"
172,male,wiki_crop/33/367133_1967-10-27_2010.jpg,"(38, 43)"
173,male,wiki_crop/93/400293_1946-06-06_2008.jpg,"(60, 100)"
177,male,wiki_crop/96/26420996_1989-10-27_2015.jpg,"(25, 32)"
181,male,wiki_crop/41/509741_1959-10-22_2010.jpg,"(48, 53)"
184,male,wiki_crop/69/35001969_1991-02-14_2012.jpg,"(15, 20)"
187,female,wiki_crop/47/34752247_1983-05-16_2013.jpg,"(25, 32)"
188,female,wiki_crop/96/217696_1970-01-31_2011.jpg,"(38, 43)"
193,male,wiki_crop/28/42137028_1981-04-29_2012.jpg,"(25, 32)"
194,male,wiki_crop/37/859537_1937-10-28_1968.jpg,"(25, 32)"
197,male,wiki_crop/08/12433108_1938-03-10_2011.jpg,"(60, 100)"
199,male,wiki_crop/58/28366158_1980-07-08_2010.jpg,"(25, 32)"
201,female,wiki_crop/98/230698_1945-07-26_2014.jpg,"(60, 100)"
202,female,wiki_crop/58/1170158_1943-08-10_1971.jpg,"(25, 32)"
204,male,wiki_crop/70/16820270_1986-09-29_2013.jpg,"(25, 32)"
205,male,wiki_crop/54/25153054_1945-12-21_2013.jpg,"(60, 100)"
206,male,wiki_crop/49/67749_1931-11-06_1970.jpg,"(38, 43)"
207,female,wiki_crop/87/8382387_1981-11-13_2013.jpg,"(25, 32)"
208,female,wiki_crop/53/183753_1917-01-05_1947.jpg,"(25, 32)"
209,male,wiki_crop/88/22670488_1990-10-17_2009.jpg,"(15, 20)"
210,male,wiki_crop/16/16281316_1958-02-24_2011.jpg,"(48, 53)"
211,male,wiki_crop/61/33142961_1913-06-09_1944.jpg,"(25, 32)"
212,female,wiki_crop/62/46949962_1951-05-26_1984.jpg,"(25, 32)"
214,female,wiki_crop/31/5588331_1979-07-02_2008.jpg,"(25, 32)"
215,female,wiki_crop/87/220187_1967-10-19_2007.jpg,"(38, 43)"
216,male,wiki_crop/25/2700625_1979-02-17_2009.jpg,"(25, 32)"
217,female,wiki_crop/57/18841657_1988-08-21_2008.jpg,"(15, 20)"
218,female,wiki_crop/38/28136638_1990-12-16_2011.jpg,"(15, 20)"
219,male,wiki_crop/23/10282423_1929-04-08_2014.jpg,"(60, 100)"
222,male,wiki_crop/68/27690868_1987-10-21_2013.jpg,"(25, 32)"
223,male,wiki_crop/87/2635587_1952-04-25_2015.jpg,"(60, 100)"
225,female,wiki_crop/26/16720526_1991-03-27_2008.jpg,"(15, 20)"
227,male,wiki_crop/04/36216604_1997-03-20_2010.jpg,"(8, 12)"
228,male,wiki_crop/49/5131549_1936-08-27_2012.jpg,"(60, 100)"
229,male,wiki_crop/12/32828212_1991-11-23_2012.jpg,"(15, 20)"
230,male,wiki_crop/59/3310559_1888-12-13_1940.jpg,"(48, 53)"
231,male,wiki_crop/40/7453840_1980-06-27_2009.jpg,"(25, 32)"
233,female,wiki_crop/96/44031596_1996-02-28_2015.jpg,"(15, 20)"
234,male,wiki_crop/73/46452873_1906-12-20_1945.jpg,"(38, 43)"
238,male,wiki_crop/89/4521189_1983-01-25_2014.jpg,"(25, 32)"
242,female,wiki_crop/59/44941759_1995-01-31_2015.jpg,"(15, 20)"
243,male,wiki_crop/50/22359550_1959-06-20_2009.jpg,"(48, 53)"
244,female,wiki_crop/90/409190_1902-01-05_1980.jpg,"(60, 100)"
245,female,wiki_crop/06/17789106_1980-11-03_2012.jpg,"(25, 32)"
246,male,wiki_crop/16/1934516_1978-09-13_2007.jpg,"(25, 32)"
247,male,wiki_crop/46/3443046_1969-02-15_1990.jpg,"(15, 20)"
248,female,wiki_crop/35/1018235_1962-12-09_2012.jpg,"(48, 53)"
249,male,wiki_crop/56/277556_1968-12-02_2011.jpg,"(38, 43)"
250,male,wiki_crop/17/4035117_1966-02-11_2005.jpg,"(38, 43)"
252,female,wiki_crop/24/39793924_1962-08-16_2003.jpg,"(38, 43)"
253,male,wiki_crop/64/30778164_1987-02-09_2014.jpg,"(25, 32)"
254,male,wiki_crop/07/935407_1951-07-16_1991.jpg,"(38, 43)"
255,male,wiki_crop/16/842316_1965-02-09_2006.jpg,"(38, 43)"
256,female,wiki_crop/26/16485426_1954-01-31_2007.jpg,"(48, 53)"
257,male,wiki_crop/00/41464800_1944-12-16_1971.jpg,"(25, 32)"
259,male,wiki_crop/68/14062568_1918-07-03_1946.jpg,"(25, 32)"
260,male,wiki_crop/86/26413086_1996-03-25_2012.jpg,"(15, 20)"
261,male,wiki_crop/87/4758787_1849-06-21_2001.jpg,"(60, 100)"
262,female,wiki_crop/59/2403959_1892-09-20_1941.jpg,"(48, 53)"
265,male,wiki_crop/02/2772802_1969-04-07_2009.jpg,"(38, 43)"
268,male,wiki_crop/20/411920_1938-06-27_1992.jpg,"(48, 53)"
270,male,wiki_crop/94/12382094_1967-06-28_2011.jpg,"(38, 43)"
271,male,wiki_crop/81/12755781_1933-11-12_1977.jpg,"(38, 43)"
272,male,wiki_crop/78/3734178_1977-03-09_2009.jpg,"(25, 32)"
273,male,wiki_crop/94/19922894_1947-04-23_2008.jpg,"(60, 100)"
276,male,wiki_crop/90/17148590_1984-12-23_2012.jpg,"(25, 32)"
279,female,wiki_crop/21/998521_1965-01-20_2008.jpg,"(38, 43)"
281,female,wiki_crop/12/32693112_1901-07-16_2015.jpg,"(60, 100)"
282,female,wiki_crop/60/17165860_1942-01-24_1972.jpg,"(25, 32)"
289,female,wiki_crop/53/5814553_1976-08-15_2005.jpg,"(25, 32)"
290,female,wiki_crop/25/15720425_1984-05-21_2013.jpg,"(25, 32)"
292,male,wiki_crop/43/857843_1955-11-24_2009.jpg,"(48, 53)"
295,male,wiki_crop/55/20358755_1929-01-28_2012.jpg,"(60, 100)"
297,male,wiki_crop/78/1293078_1965-03-25_2014.jpg,"(48, 53)"
298,male,wiki_crop/81/1556881_1968-09-26_2009.jpg,"(38, 43)"
299,male,wiki_crop/59/5906459_1902-10-03_1943.jpg,"(38, 43)"
304,male,wiki_crop/65/46315965_1996-03-15_2014.jpg,"(15, 20)"
307,female,wiki_crop/45/1562645_1979-06-25_2009.jpg,"(25, 32)"
310,male,wiki_crop/35/165935_1940-02-17_1966.jpg,"(25, 32)"
311,male,wiki_crop/67/2291467_1912-04-29_1940.jpg,"(25, 32)"
312,male,wiki_crop/68/2822968_1970-06-01_2011.jpg,"(38, 43)"
313,male,wiki_crop/80/46337580_1992-03-27_2013.jpg,"(15, 20)"
315,male,wiki_crop/08/1733408_1942-07-08_2012.jpg,"(60, 100)"
316,female,wiki_crop/61/46381961_1986-12-23_2012.jpg,"(25, 32)"
317,male,wiki_crop/31/11631331_1906-03-26_1971.jpg,"(60, 100)"
318,male,wiki_crop/45/1962545_1941-11-13_2015.jpg,"(60, 100)"
321,male,wiki_crop/52/12248552_1989-11-03_2008.jpg,"(15, 20)"
322,male,wiki_crop/13/422813_1943-06-17_2004.jpg,"(60, 100)"
323,male,wiki_crop/40/433440_1958-05-23_2010.jpg,"(48, 53)"
324,male,wiki_crop/62/3720162_1984-11-30_2011.jpg,"(25, 32)"
325,female,wiki_crop/43/5713543_1977-01-18_2009.jpg,"(25, 32)"
326,male,wiki_crop/05/5109605_1970-03-01_2010.jpg,"(38, 43)"
329,female,wiki_crop/27/2666227_1973-07-03_2013.jpg,"(38, 43)"
330,male,wiki_crop/27/3539227_1981-10-29_2011.jpg,"(25, 32)"
331,female,wiki_crop/60/9319060_1984-05-10_2003.jpg,"(15, 20)"
332,male,wiki_crop/19/4966419_1983-02-03_2015.jpg,"(25, 32)"
333,male,wiki_crop/45/225245_1936-11-18_1987.jpg,"(48, 53)"
335,male,wiki_crop/17/35456517_1980-11-29_2011.jpg,"(25, 32)"
336,male,wiki_crop/89/34184689_1971-09-08_2014.jpg,"(38, 43)"
338,male,wiki_crop/76/24234476_1945-10-16_1971.jpg,"(25, 32)"
339,male,wiki_crop/59/35208759_1993-12-21_2011.jpg,"(15, 20)"
340,male,wiki_crop/27/16781827_1943-02-27_1963.jpg,"(15, 20)"
341,female,wiki_crop/88/22266188_1988-05-24_2014.jpg,"(25, 32)"
342,male,wiki_crop/44/1999844_1985-08-02_2011.jpg,"(25, 32)"
343,female,wiki_crop/84/34534584_1995-08-18_2012.jpg,"(15, 20)"
344,male,wiki_crop/84/38891084_1917-11-25_1978.jpg,"(60, 100)"
346,male,wiki_crop/50/11874550_1925-04-12_1964.jpg,"(38, 43)"
347,male,wiki_crop/31/1098031_1968-12-08_2010.jpg,"(38, 43)"
348,female,wiki_crop/33/2449433_1966-10-31_1982.jpg,"(15, 20)"
349,male,wiki_crop/69/31716269_1921-03-11_2011.jpg,"(60, 100)"
350,male,wiki_crop/74/22020474_1988-11-14_2014.jpg,"(25, 32)"
351,male,wiki_crop/66/32077466_1898-10-10_1967.jpg,"(60, 100)"
353,male,wiki_crop/51/6720551_1901-01-17_1952.jpg,"(48, 53)"
354,female,wiki_crop/67/20647767_1970-12-12_2012.jpg,"(38, 43)"
355,male,wiki_crop/25/1440525_1970-01-15_2011.jpg,"(38, 43)"
361,female,wiki_crop/20/18894920_1949-12-03_1991.jpg,"(38, 43)"
363,female,wiki_crop/75/23866875_1980-07-11_2010.jpg,"(25, 32)"
364,male,wiki_crop/36/22176536_1922-03-03_1976.jpg,"(48, 53)"
365,male,wiki_crop/31/43674731_1984-11-25_2014.jpg,"(25, 32)"
367,male,wiki_crop/86/44285586_1992-06-19_2012.jpg,"(15, 20)"
368,male,wiki_crop/63/31743763_1989-05-09_2015.jpg,"(25, 32)"
370,male,wiki_crop/89/182589_1942-09-25_2008.jpg,"(60, 100)"
371,male,wiki_crop/62/8918862_1937-11-20_1976.jpg,"(38, 43)"
372,male,wiki_crop/09/20777309_1944-04-17_1962.jpg,"(15, 20)"
373,male,wiki_crop/71/146071_1928-07-13_1969.jpg,"(38, 43)"
374,male,wiki_crop/07/1517707_1945-07-30_2013.jpg,"(60, 100)"
376,female,wiki_crop/18/10504518_1928-09-25_1955.jpg,"(25, 32)"
377,female,wiki_crop/56/39035656_1960-08-04_2013.jpg,"(48, 53)"
378,male,wiki_crop/39/9560039_1982-05-18_2009.jpg,"(25, 32)"
379,female,wiki_crop/70/6708470_1992-11-15_2009.jpg,"(15, 20)"
380,male,wiki_crop/90/187990_1917-09-07_1943.jpg,"(25, 32)"
383,male,wiki_crop/22/24814822_1979-04-01_2009.jpg,"(25, 32)"
384,female,wiki_crop/91/23741291_1966-07-04_2009.jpg,"(38, 43)"
385,male,wiki_crop/32/13593532_1986-12-12_2014.jpg,"(25, 32)"
386,female,wiki_crop/36/19079736_1981-07-30_2010.jpg,"(25, 32)"
388,male,wiki_crop/83/323983_1966-02-24_2008.jpg,"(38, 43)"
390,male,wiki_crop/66/1385366_1927-06-10_2007.jpg,"(60, 100)"
391,male,wiki_crop/95/1862295_1982-12-21_2013.jpg,"(25, 32)"
392,female,wiki_crop/18/12889718_1979-05-13_2011.jpg,"(25, 32)"
394,male,wiki_crop/34/3619834_1986-09-25_2015.jpg,"(25, 32)"
395,female,wiki_crop/26/993926_1984-06-25_2012.jpg,"(25, 32)"
396,female,wiki_crop/68/42407568_1999-07-15_2015.jpg,"(15, 20)"
397,female,wiki_crop/94/800094_1928-01-23_2006.jpg,"(60, 100)"
398,female,wiki_crop/45/33881745_1983-06-19_2014.jpg,"(25, 32)"
400,male,wiki_crop/00/18407100_1917-10-18_1958.jpg,"(38, 43)"
401,female,wiki_crop/37/520837_1972-09-15_2014.jpg,"(38, 43)"
402,male,wiki_crop/10/19110410_1984-01-05_2014.jpg,"(25, 32)"
403,male,wiki_crop/73/665173_1897-09-23_1972.jpg,"(60, 100)"
404,male,wiki_crop/92/33592_1938-10-26_1989.jpg,"(48, 53)"
405,female,wiki_crop/37/5064437_1934-09-16_1964.jpg,"(25, 32)"
407,male,wiki_crop/94/169494_1933-07-09_2009.jpg,"(60, 100)"
410,male,wiki_crop/68/22251468_1982-08-01_2013.jpg,"(25, 32)"
411,female,wiki_crop/46/2225246_1934-11-24_2014.jpg,"(60, 100)"
412,male,wiki_crop/52/2644452_1967-04-09_2009.jpg,"(38, 43)"
413,male,wiki_crop/43/22267343_1984-02-25_2010.jpg,"(25, 32)"
414,male,wiki_crop/06/20132006_1987-01-14_2015.jpg,"(25, 32)"
416,male,wiki_crop/90/26609690_1984-01-16_2013.jpg,"(25, 32)"
421,male,wiki_crop/90/41284590_1987-03-04_2014.jpg,"(25, 32)"
424,male,wiki_crop/61/15543161_1992-05-25_2011.jpg,"(15, 20)"
427,male,wiki_crop/40/9955340_1986-02-16_2014.jpg,"(25, 32)"
428,male,wiki_crop/56/758556_1926-08-11_1979.jpg,"(48, 53)"
430,male,wiki_crop/17/12173117_1989-06-11_2008.jpg,"(15, 20)"
431,male,wiki_crop/59/4396259_1988-07-03_2014.jpg,"(25, 32)"
433,male,wiki_crop/28/42636128_1969-03-22_2012.jpg,"(38, 43)"
434,male,wiki_crop/72/11935072_1927-08-12_1948.jpg,"(15, 20)"
435,male,wiki_crop/28/30003728_1993-04-18_2013.jpg,"(15, 20)"
436,female,wiki_crop/16/1304716_1976-01-27_2008.jpg,"(25, 32)"
437,female,wiki_crop/36/39367636_1926-11-10_1957.jpg,"(25, 32)"
438,male,wiki_crop/22/14539522_1982-05-26_2008.jpg,"(25, 32)"
440,male,wiki_crop/36/35848436_1933-12-06_1960.jpg,"(25, 32)"
441,female,wiki_crop/36/12136936_1962-09-10_2013.jpg,"(48, 53)"
442,male,wiki_crop/11/991111_1907-10-30_1968.jpg,"(60, 100)"
445,male,wiki_crop/92/6248892_1987-01-28_2014.jpg,"(25, 32)"
446,female,wiki_crop/09/235309_1920-08-17_2014.jpg,"(60, 100)"
448,male,wiki_crop/14/503314_1926-03-18_1967.jpg,"(38, 43)"
449,male,wiki_crop/19/2604719_1978-10-23_2011.jpg,"(25, 32)"
450,male,wiki_crop/39/11679439_1932-04-16_1961.jpg,"(25, 32)"
451,female,wiki_crop/45/36212145_1992-07-12_2012.jpg,"(15, 20)"
453,female,wiki_crop/13/1989813_1922-04-27_1971.jpg,"(48, 53)"
454,male,wiki_crop/60/1821060_1932-01-19_1953.jpg,"(15, 20)"
455,male,wiki_crop/46/44835846_1946-12-08_1978.jpg,"(25, 32)"
456,male,wiki_crop/99/2288999_1979-10-15_2006.jpg,"(25, 32)"
460,male,wiki_crop/49/35954349_1982-10-14_2012.jpg,"(25, 32)"
461,male,wiki_crop/47/4256847_1983-04-01_2009.jpg,"(25, 32)"
462,male,wiki_crop/84/36570384_1924-02-27_1989.jpg,"(60, 100)"
463,male,wiki_crop/98/149798_1913-03-04_1942.jpg,"(25, 32)"
465,male,wiki_crop/27/19600227_1982-08-20_2013.jpg,"(25, 32)"
466,male,wiki_crop/81/39892681_1958-03-25_2011.jpg,"(48, 53)"
470,female,wiki_crop/80/31918480_1968-10-21_2012.jpg,"(38, 43)"
471,male,wiki_crop/10/2002610_1920-03-01_1948.jpg,"(25, 32)"
473,male,wiki_crop/81/35496081_1927-03-16_1954.jpg,"(25, 32)"
476,female,wiki_crop/65/43691065_1987-06-30_2014.jpg,"(25, 32)"
479,male,wiki_crop/35/21750835_1915-02-12_1968.jpg,"(48, 53)"
481,female,wiki_crop/93/13581593_1984-06-20_2011.jpg,"(25, 32)"
482,male,wiki_crop/14/12736114_1986-12-15_2014.jpg,"(25, 32)"
483,male,wiki_crop/97/18922797_1984-06-14_2012.jpg,"(25, 32)"
486,male,wiki_crop/70/629570_1926-06-14_1955.jpg,"(25, 32)"
487,male,wiki_crop/10/30283410_1984-04-13_2013.jpg,"(25, 32)"
488,female,wiki_crop/29/36348029_1982-08-27_2012.jpg,"(25, 32)"
493,female,wiki_crop/30/2249330_1920-12-29_1963.jpg,"(38, 43)"
494,male,wiki_crop/55/42063355_1945-01-15_2007.jpg,"(60, 100)"
497,male,wiki_crop/15/1881115_1979-01-31_2007.jpg,"(25, 32)"
498,male,wiki_crop/64/23264364_1994-05-31_2014.jpg,"(15, 20)"
499,female,wiki_crop/67/61267_1954-12-13_2008.jpg,"(48, 53)"
500,male,wiki_crop/08/25537408_1994-09-01_2014.jpg,"(15, 20)"
